"RESOURCE ID","RESOURCE NAME","RESOURCE PMAX MW","RESOURCEBID_SEQ","seq_max_mw","rank","n_matches","mean_pct_err","score","confidence"
"DEADCK_1_UNIT","DEADCK_1_UNIT",1.96,771288,1.82,4,2,0.0189069634703197,1.96218607305936,NA
"DEADCK_1_UNIT","DEADCK_1_UNIT",1.96,190775,2,5,2,0.0416666666666667,1.91666666666667,NA
"DELAMO_2_ALASB2","Los Alamitos 2",10,643213,9.5,1,2,0,2,0
"DELAMO_2_ALASB2","Los Alamitos 2",10,963357,9.55,2,2,0,2,NA
"DELAMO_2_ALASB2","Los Alamitos 2",10,136915,9,3,2,0.0199999999999999,1.96,NA
"DIABLO_7_UNIT 1","Diablo Canyon Unit 1",1150,126417,1150,1,10,0.00679485116653259,9.93205148833468,0.203016443329362
"DIABLO_7_UNIT 1","Diablo Canyon Unit 1",1150,195335,1150,2,8,0.0105397849738909,7.91568172020887,NA
"DIABLO_7_UNIT 2","Diablo Canyon Unit 2",1150,195335,1150,1,2,0.00253036437246964,1.99493927125506,1
"DRACKR_2_DSUBT1","Dracker Solar Unit 1 BESS",63,140316,60,1,40,0.0206834302751372,39.1726627889945,0.0243949098423806
"DRACKR_2_DSUBT1","Dracker Solar Unit 1 BESS",63,917893,60,2,39,0.0200756612315125,38.217049211971,NA
"DRACKR_2_DSUBT1","Dracker Solar Unit 1 BESS",63,145917,57,3,39,0.0317300184765444,37.7625292794148,NA
"DRACKR_2_DSUBT1","Dracker Solar Unit 1 BESS",63,131675,60,4,36,0.0225563891109409,35.1879699920061,NA
"DRACKR_2_DSUBT1","Dracker Solar Unit 1 BESS",63,237420,62.5,5,34,0.0212397388902827,33.2778488777304,NA
"DREWS_6_PL1X4","Drews Generating Plant",41.4,186841,38.39,1,5,0.00193236714975848,4.99033816425121,0.213896855482474
"DREWS_6_PL1X4","Drews Generating Plant",41.4,493401,40,2,4,0.0192698692190769,3.92292052312369,NA
"DREWS_6_PL1X4","Drews Generating Plant",41.4,141013,38.23,3,3,0.0251207729468599,2.92463768115942,NA
"DREWS_6_PL1X4","Drews Generating Plant",41.4,437886,39.47,4,3,0.0368277358789297,2.88951679236321,NA
"DREWS_6_PL1X4","Drews Generating Plant",41.4,180457,40,5,2,0.0119162640901772,1.97616747181965,NA
