"RESOURCE ID","RESOURCE NAME","total_curtailment_events","RESOURCEBID_SEQ","n_matches","confidence","score"
"MIRLOM_2_MLBBTB","Mira Loma BESS B",66,491560,15,0.0764147746526601,14.755
"MNDALY_6_MCGRTH","McGrath Beach Peaker",1,NA,NA,NA,NA
"MNDOTA_1_SOLAR1","North Star Solar 1",1,NA,NA,NA,NA
"MOJAVE_1_SIPHON","MOJAVE SIPHON POWER PLANT",1,NA,NA,NA,NA
"MONTPH_7_UNITS","MONTICELLO HYDRO AGGREGATE",7,184635,2,1,1.94117647058824
"MOORPK_2_CALABS","Calabasas Gas-to-Energy Facility",12,211201,3,1,2.93333333333333
"MORWD_6_QF","Morwind",1,NA,NA,NA,NA
"MOSSLD_2_PSP1","MOSS LANDING POWER BLOCK 1",8,NA,NA,NA,NA
"MOSSLD_2_PSP2","MOSS LANDING POWER BLOCK 2",2,NA,NA,NA,NA
"MRCHNT_2_PL1X3","Desert Star Energy Center",50,NA,NA,NA,NA
"MRGT_6_TGEBT1","Top Gun Energy Storage",18,285521,6,0.00626780626780632,5.90909090909091
"MRLSDS_6_SOLAR1","Morelos Solar",1,NA,NA,NA,NA
"MSHGTS_6_MMARLF","MIRAMAR LANDFILL",1,NA,NA,NA,NA
"MSOLAR_2_SOLAR1","Mesquite Solar 1",2,961257,2,1,1.97411003236246
"MSTANG_2_MTGBT1","Mustang 1 BESS",10,NA,NA,NA,NA
"MSTANG_2_SOLAR","Mustang",6,984603,2,1,1.96629705281587
"MSTANG_2_SOLAR3","Mustang 3",6,974145,2,1,1.954
"MSTANG_2_SOLAR4","Mustang 4",12,654478,2,1,1.99058823529412
"MTWIND_1_MVPWD1","Mountain View Power Project I Repower",18,131675,14,0.00784971581361926,13.6493028865182
"MTWIND_1_UNIT 3","Mountain View Power Project III",21,165858,4,0.495792174798967,3.94029017857143
"NAROW1_2_UNIT","NARROWS PH 1 UNIT",1,NA,NA,NA,NA
"NAROW2_2_UNIT","Narrows Powerhouse Unit 2",1,NA,NA,NA,NA
"NCPA_7_GP2UN4","NCPA GEO PLANT 2 UNIT 4",3,NA,NA,NA,NA
"NEENCH_6_SOLAR","Alpine Solar",11,NA,NA,NA,NA
"NGILAA_5_SDGDYN","NGILAA_5_SDGDYN",5,174744,4,0.00727272727272721,4
"NORCNV_1_NCVBT1","North Central Valley",6,NA,NA,NA,NA
"NZWIND_6_CALWND","Wind Resource I",2,NA,NA,NA,NA
"OAK C_7_UNIT 1","OAKLAND STATION C GT UNIT 1",8,NA,NA,NA,NA
"OAK C_7_UNIT 3","OAKLAND STATION C GT UNIT 3",7,NA,NA,NA,NA
"OAKWD_6_QF","Oak Creek",1,NA,NA,NA,NA
"OASIS_6_CREST","CREST Contracts",1,NA,NA,NA,NA
"OBERON_5_O2BBX2","Oberon 2 BESS",1,NA,NA,NA,NA
"OBERON_5_O2SSR5","Oberon 2B Solar",182,118485,19,0.109320997598986,18.5206586203507
"OCOTLO_6_OCWSB1","Ocotillo Wells Solar and BESS",221,729047,129,0.736434108527132,125.090909090909
"OCTILO_5_WIND","Ocotillo Wind Energy Facility",9,124064,5,0.00245610581605149,4.94261673650468
"OGROVE_6_PL1X2","Orange Grove Energy Center",10,139204,2,0.0252960172228203,1.97659574468085
"OILFLD_7_QFUNTS","Nacimiento Hydroelectric Plant",2,NA,NA,NA,NA
"OMAR_2_UNIT 1","KERN RIVER COGENERATION CO. UNIT 1",1,NA,NA,NA,NA
"OMAR_2_UNIT 2","KERN RIVER COGENERATION CO. UNIT 2",1,NA,NA,NA,NA
"OMAR_2_UNIT 3","KERN RIVER COGENERATION CO. UNIT 3",1,NA,NA,NA,NA
"OMAR_2_UNIT 4","KERN RIVER COGENERATION CO. UNIT 4",3,962064,3,0.00456621004566193,3
"ORMOND_7_UNIT 1","ORMOND BEACH GEN STA. UNIT 1",3,NA,NA,NA,NA
"OROVIL_6_UNIT","Oroville Cogeneration, LP",1,NA,NA,NA,NA
