"generator","generator_name","curtailment_date","pmax_mw","curtailment_mw","expected_available_mw","RESOURCEBID_SEQ","daily_max_mw","mw_error","pct_error"
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-28,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-29,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-29,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-30,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-30,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-04,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-04,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-05,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-05,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-06,820,52.3,767.7,166600,799.47,31.77,0.0413833528722157
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-06,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-10,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-10,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-11,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-12,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-17,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-17,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-18,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-18,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-19,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-19,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-20,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-20,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-20,820,41.5,778.5,166600,799.47,20.97,0.0269364161849711
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-21,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-21,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-21,820,41.5,778.5,166600,799.47,20.97,0.0269364161849711
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-24,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-25,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-26,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-29,820,42.5,777.5,166600,799.47,21.97,0.0282572347266881
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-30,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-31,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-05-31,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-02,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-02,820,36.5,783.5,166600,799.47,15.97,0.020382897255903
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-06,820,45,775,166600,791,16,0.0206451612903226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-06,820,61.1,758.9,166600,791,32.1,0.0422980629859007
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-08,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-09,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-12,820,45,775,166600,799,24,0.0309677419354839
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-14,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-15,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-16,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-19,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-20,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-22,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-23,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-23,820,0.2,819.8,166600,799.47,-20.3299999999999,-0.0247987313979018
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-25,820,0.2,819.8,166600,781,-38.8,-0.0473286167357892
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-26,820,45,775,166600,786,11,0.0141935483870968
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-26,820,20.7,799.3,166600,786,-13.3,-0.0166395596146628
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-26,820,36.5,783.5,166600,786,2.5,0.00319081046585833
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-26,820,0.2,819.8,166600,786,-33.8,-0.0412295681873627
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-26,820,50.7,769.3,166600,786,16.7,0.0217080462758352
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-28,820,36.5,783.5,166600,789,5.5,0.00701978302488832
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-28,820,4.7,815.3,166600,789,-26.3,-0.032258064516129
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-29,820,45,775,166600,788,13,0.0167741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-06-30,820,45,775,166600,789,14,0.0180645161290323
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-07-03,820,45,775,166600,782,7,0.00903225806451613
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-07-06,820,45,775,166600,782,7,0.00903225806451613
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-07-07,820,45,775,166600,779,4,0.00516129032258065
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-07-08,820,45,775,166600,783,8,0.0103225806451613
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-07-08,820,10.8,809.2,166600,783,-26.2,-0.032377656945131
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-07-12,820,10.8,809.2,166600,782,-27.2,-0.0336134453781513
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-07-13,820,10.8,809.2,166600,778,-31.2,-0.0385565991102324
