RESOURCE ID,RESOURCE NAME,total_outage_events,RESOURCEBID_SEQ,n_matches,confidence,score
DRACKR_2_DSUBT3,DRACKR_2_DSUBT3,2,701361.0,2.0,0.295098039215686,1.77391304347826
DRACKR_2_DSUBT4,DRACKR_2_DSUBT4,1,,,,
DRACKR_2_SOLAR1,DRACKR_2_SOLAR1,2,,,,
DRACKR_2_SOLAR2,DRACKR_2_SOLAR2,1,,,,
DREWSR_2_BHSSR1,DREWSR_2_BHSSR1,4,,,,
DREWS_6_PL1X4,DREWS_6_PL1X4,1,,,,
DRUM_7_PL1X2,DRUM_7_PL1X2,73,,,,
DRUM_7_PL3X4,DRUM_7_PL3X4,163,,,,
DRUM_7_UNIT 5,DRUM_7_UNIT 5,123,,,,
DSABLA_7_UNIT,DSABLA_7_UNIT,1,174396.0,1.0,0.948787061994609,0.401081081081081
DSFLWR_2_W9CSB1,DSFLWR_2_W9CSB1,111,,,,
DSFLWR_2_W9CSB2,DSFLWR_2_W9CSB2,140,,,,
DSFLWR_2_WS2SR1,DSFLWR_2_WS2SR1,4,,,,
DSRTHV_2_DH1SR1,DSRTHV_2_DH1SR1,1,,,,
DSRTHV_2_DH2BT1,DSRTHV_2_DH2BT1,1,,,,
DSRTHV_2_DH2SR2,DSRTHV_2_DH2SR2,1,,,,
DSRTSL_2_SOLAR1,DSRTSL_2_SOLAR1,2,723063.0,2.0,0.2,1.68810560788683
DSRTSN_2_DS2BX2,DSRTSN_2_DS2BX2,2,296736.0,2.0,0.321880650994575,1.44260869565217
DSRTSN_2_DS2X2,DSRTSN_2_DS2X2,3,132494.0,3.0,0.0,2.84347826086957
DSRTSN_2_SOLAR1,DSRTSN_2_SOLAR1,1,525717.0,1.0,0.131944444444444,0.96
DSRTSN_2_SOLAR2,DSRTSN_2_SOLAR2,1,611852.0,1.0,0.266666666666667,0.6
DTCHWD_2_BT3WND,DTCHWD_2_BT3WND,3,,,,
DTCHWD_2_BT4WND,DTCHWD_2_BT4WND,1,136437.0,1.0,1.0,0.320552147239264
DUANE_1_PL1X3,DUANE_1_PL1X3,6,514544.0,6.0,0.50744248985115,6.0
DURNMESA_3_WBDYN,DURNMESA_3_WBDYN,1,,,,
DUTCH1_7_UNIT 1,DUTCH1_7_UNIT 1,300,844001.0,300.0,0.800425531914894,256.363636363636
DUTCH2_7_UNIT 1,DUTCH2_7_UNIT 1,79,,,,
DVLCYN_1_UNITS,DVLCYN_1_UNITS,2,407814.0,2.0,0.574468085106383,2.0
DYERSM_6_DSWWD1,DYERSM_6_DSWWD1,6,860091.0,6.0,0.727678571428571,6.0
DYLAN_2_BMTBT1,DYLAN_2_BMTBT1,2,262817.0,1.0,0.005,1.0
EASTWD_7_UNIT,EASTWD_7_UNIT,4,,,,
EDWARD_2_E21SB1,EDWARD_2_E21SB1,2,,,,
EDWARD_2_E23SB1,EDWARD_2_E23SB1,2,,,,
